videoId,background_color_simplicity
ghMZe9NRAgY,0.010213731210443038
R1vskiVDwl4,0.004197140957446809
M624T3PTggU,0.011107990175585284
AL1-Xd2HTWU,0.03866182902212919
kLBDuWvcy7U,0.012338491586538462
esmzYhuFnds,0.03150899786698191
zn1SJOPgewo,0.004119582403273809
Y30VF3cSIYQ,0.21092354910714287
D1R-jKKp3NA,0.1868568638392857
mbDipVRt5aE,0.0027818592316513763
TUSxq7KoTsM,0.15431588595030737
XIXvKKEQQJo,0.0008064038825757576
aDhTeLWJBxI,None
4yzaG0Ia_fs,0.041953125
KzG-mJgj-E4,0.007775992990654206
Q0jeohWnmAQ,0.15998891766151685
a5ZwNfzusLQ,0.08290608723958333
i1AHCaokqhg,0.0021367266895325203
9tnLXvr6cLM,0.0032767789909638554
wlk1DLm-BjU,0.040341584578804345
q9tYsvRg1as,0.25975777060991956
gIR65Mz8mHQ,0.039137010450487016
7UeRnuGo-pg,0.06739478017769608
zORUUqJd81M,0.001960133821770335
q7prQTS_N3Y,0.015070597330729166
1-JAx3nUwms,0.01035422145730198
8FHBh_OmdsM,0.01629481322082768
d0yGdNEWdn0,0.019157340934684686
w7BMaG3zyVo,0.07470272288602942
LIEuU8CZjGQ,0.012544961968475073
wcKyq-e-Soo,0.3294979319852941
tI8ijLpZaHk,0.10118053805443548
HEdPX8pt_DQ,0.06103706359863281
pkdgVYehiTE,0.0017239552623820754
7bE2mI4ePeU,0.057115565232240435
aJdUVRAKmB8,0.13135209517045454
G2_Q9FoD-oQ,0.10425999781468531
XF3P3KRn7EM,0.04069221793831169
rc57xiKQal8,0.051274617513020836
kE7D7qFayVg,0.1087090214596519
X5846PYLWIY,0.037755166330645164
DxbMzZ5a2Zg,0.003434007185218978
pynDvIsLoU0,0.01015503938533058
MHTa3aDczCk,0.037216796875
wKpZXVz-Jvs,0.14522438487787356
QoqohmccTSc,0.037533351353236606
qiN67V5q3C4,0.016136863014914772
w-eX4sZi-Zs,0.03547683522126234
Nn-_8IniOVk,0.05680621603260869
QaoVWtLX038,0.0019577314268867923
cC0KxNeLp1E,0.0018709622896634615
MmfikLimeQ8,0.0006775881517379679
MdZAMSyn_As,0.015516609981142241
677ZtSMr4-4,0.03509200246710526
