videoId,brightness
X32dce7_D48,167.77635382479548
IOZO13rdhwU,193.28440006904566
w1f6o1HQBvg,60.173954089506175
CvKXdhB_y9I,92.68032169640824
6S66jorlkeY,139.7284569931774
VcOCCrKlXRM,51.04553596866097
8N1cKs9JRq0,147.89850850080668
wutztfYqk0I,88.61794405644991
5njUvlLWoRI,216.27193137372285
wEbiwj0CY4U,147.07469620718302
CTXcB8w5JQc,
MFZsxoen5Y0,
b617FReb9YI,
K-HFRtLaxqY,
5q7BSLylhTo,
HibcMLxj55g,
J2z5uzqxJNU,
DWKe6i-ia9c,
LGW12hBxUbs,
7rULs35adVA,
C6dpQWnRII0,
74Tw4sm34LQ,
pEnXNd2z9bo,
bjUoQbSJDJs,
xlBhqDOxolk,
SnQNrYOvWR4,
Zb18eEvBNh0,
knMM9dRwIH4,
r0_mi8ngNnM,
9AVhwGKV2TE,
HUbi0z0msrk,
kCQ4m-ui6yQ,
WQpwcU8FTZk,
7QpJ_VDbIPA,
nlJ4WIj3j24,
_pYfw-_KfIE,
joc5J-poAxg,
ajTUqSXzZis,
IiAVsYnHtwM,
iBZaLPEhq04,
Hnl4AyEO1I8,
IUTGFQpKaPU,
8dOM8EHJoCE,
bXsv_F0kfrs,
PJjXnkd6bUQ,
aRdcptG365I,
No-T6NIytFE,
GWM0elaag2s,
BxpFMrEAwqc,
4QrGdzYiNFY,
mAZ-gT0Ip-0,
9_guNEfxTII,
5O5EC06b-xg,
W2sIvBq2iAk,
AqcMAn10448,
QlSShPVcxfg,
-zCsllWJ3A8,
fK8LrzzC4-8,
UojBaKX5Vz4,
Ev-QpxN8wPo,
i5gxEhNDYls,
NTe1FQY9gn0,
alQ1hlfNI_o,
YpcrlbmWgb8,
igNgYtGYjys,
NAx_gFh9BxY,
zyQtN7Zbi-c,
8P13-6Qt89k,
4NGlnpZfXII,
7bL4dmUdddI,
GfxzDd1wNxs,
E8xXtoIm76s,
elvOZm0d4H0,
cpCXLf9E1Ic,
C3ddWloPyPA,
jFxtn_BQauk,
FNofmHUX81c,
uJ-c54cgDos,
JT912hDAPro,
jpZWQ8ebTuA,
lw3c5d3aBSE,
nsTMPkPCQzA,
mcVvM4nhwNs,
5sKah3pJnHI,
KYG6nvG1dyw,
3DQATvwX4aI,
FtbiL1uwC9Y,
ARP0bpKgvVg,
xH5whVFwXw4,
XMV3h9F6jq4,
ylJd5sUbANE,
cJXcK_P-zOQ,
480PvTx2U68,
jwhFr5Ax3Fk,
HswySJvxeuE,
Ha18O3B6Eag,
2I-_SV8cwsw,
bB52e6N8kjU,
WqmbA5k-_Eo,
-EtHF5ND3_s,
u1EmWNY8km0,
Q9Ybl-8S6-4,
FQkaH5ppFek,
HbNYuOTaYFs,
nJ539VsNq2s,
Z49hXoN4KWg,
U8O8R8-XRmQ,
YQGotj43PqM,
HxOusn13fqE,
XZSnRjDRrvY,
_Y9EZcw5zaA,
qPrxInnjdvg,
Jtpv39DeWpc,
y6fPilMJHsE,
_BXYFubygkM,
eIpFQGGuALc,
5kpVl6YJzpk,
AwAVQ0RiwPw,
ecaGFISlQXk,
MEysDZDzyIw,
3dIbFvX_zCE,
_ZB4aUMVKS0,
d6c6uIyieoo,
zLAMv1vDSgo,
wLpOb7vYwk0,
