videoId,voice_frequencies,non_voice_frequencies,mfcc_shape,mfcc_coeff_1,mfcc_coeff_2,mfcc_coeff_3,mfcc_coeff_4,mfcc_coeff_5,mfcc_coeff_6,mfcc_coeff_7,mfcc_coeff_8,mfcc_coeff_9,mfcc_coeff_10,mfcc_coeff_11,mfcc_coeff_12,mfcc_coeff_13
kUr_gdKQ8j4,9.198067089270332,4.55910092220943,"[45123, 13]",20.36221946,11.18631678,-0.44000133,5.61163422,-1.31964542,1.82944695,-0.89335267,0.48792367,0.36213205,-0.51250674,0.51744864,-0.86202556,0.73697235
h0e2HAPTGF4,0.15037494961280395,0.07357154798191913,"[309034, 13]",16.91918725,10.29639414,-0.7678625,1.32370699,1.42546029,-0.52768566,-0.44350439999999997,-0.17625733,-0.48123305,0.19887786,-0.09152867,0.24692816,0.21129927
0hVuCWfyHP4,9.782681638673962,4.898958236945777,"[68138, 13]",19.772177300000003,10.70312089,2.24424184,1.38016288,0.02966924,0.31284126,-0.30932937,0.51316589,0.14207854,-0.02170047,-0.10477396,-0.28792328,0.10072253
QHydkEARVKE,0.9031750329024254,0.4619542566917844,"[118147, 13]",7.71748089,7.21823414,1.49840795,2.35418916,0.36542459,-0.52917812,-0.79752233,0.340115,-0.82020691,0.06957215,-0.09589085,-0.04441088,0.16974134
nKW8Ndu7Mjw,3.2964754074309086,1.7665065579169543,"(63542,13)",19.18439771,9.83013275,1.13245629,1.4809018999999999,1.17096152,0.10728812,-0.44600434,0.47780933,-0.20862867,0.32699167,-0.04890342,-0.32878913,-0.06612480000000001
BR9h47Jtqyw,0.3311683140886528,0.16054831037104844,"[199996, 13]",14.831026199999998,8.49174577,-1.00941467,3.11350532,0.486764445,-0.272408684,-0.73989079,-0.0915636067,-0.41887783,-0.522465528,-0.00266353516,0.0142664653,-0.19752127100000003
w82a1FT5o88,3.6741566162757713,2.8677294285092403,"[52656, 13]",19.6082523,11.905940600000001,1.02097195,2.36177873,-0.33177809399999997,-0.250009835,-0.647314771,-0.187519496,-0.36693836799999996,0.11669714,-0.00647620274,-0.0105012149,0.0380784451
pvf0zSh3rDo,0.8737547277258979,0.4283595606134881,"[140282, 13]",18.7500785,12.8940134,0.247050441,1.81093237,0.788618625,-0.25479844,-1.7112342,-0.145493252,0.35847131200000004,0.005655030970000001,-0.0817602003,-0.176181036,0.23475885300000002
MfF750YVDxM,2.914410876386897,1.4885063449917981,"[37302, 13]",18.86266982,7.27670275,1.96387496,2.39908111,0.64916268,-0.47361926,-1.53713108,-0.16961972,-0.30984520000000004,0.26564503,-0.15209455,-0.04357286,0.07440457
OoEpfb6yga8,2.652999161910945,1.3007078859509629,"(83950,13)",19.20570181,12.49637126,2.84148616,1.01843943,0.89063093,-0.44142401,-0.9790188,0.16510364,-0.49589934,0.11328843,0.10396003,0.03891209,0.09053344
