videoId,brightness,subject_size,text_density,entropy,background_lightning_ratio,background_color_simplicity
zyQtN7Zbi-c,None,None,None,None,None,None
8P13-6Qt89k,None,None,None,None,None,None
4NGlnpZfXII,None,None,None,None,None,None
7bL4dmUdddI,None,None,None,None,None,None
GfxzDd1wNxs,None,None,None,None,None,None
E8xXtoIm76s,None,None,None,None,None,None
elvOZm0d4H0,None,None,None,None,None,None
cpCXLf9E1Ic,None,None,None,None,None,None
C3ddWloPyPA,None,None,None,None,None,None
jFxtn_BQauk,None,None,None,None,None,None
FNofmHUX81c,None,None,None,None,None,None
uJ-c54cgDos,None,None,None,None,None,None
JT912hDAPro,None,None,None,None,None,None
jpZWQ8ebTuA,None,None,None,None,None,None
lw3c5d3aBSE,None,None,None,None,None,None
nsTMPkPCQzA,None,None,None,None,None,None
mcVvM4nhwNs,None,None,None,None,None,None
5sKah3pJnHI,None,None,None,None,None,None
KYG6nvG1dyw,None,None,None,None,None,None
3DQATvwX4aI,None,None,None,None,None,None
FtbiL1uwC9Y,None,None,None,None,None,None
ARP0bpKgvVg,None,None,None,None,None,None
xH5whVFwXw4,None,None,None,None,None,None
XMV3h9F6jq4,None,None,None,None,None,None
ylJd5sUbANE,None,None,None,None,None,None
cJXcK_P-zOQ,None,None,None,None,None,None
480PvTx2U68,None,None,None,None,None,None
jwhFr5Ax3Fk,None,None,None,None,None,None
HswySJvxeuE,None,None,None,None,None,None
Ha18O3B6Eag,None,None,None,None,None,None
2I-_SV8cwsw,None,None,None,None,None,None
bB52e6N8kjU,None,None,None,None,None,None
WqmbA5k-_Eo,None,None,None,None,None,None
-EtHF5ND3_s,None,None,None,None,None,None
u1EmWNY8km0,None,None,None,None,None,None
Q9Ybl-8S6-4,None,None,None,None,None,None
FQkaH5ppFek,None,None,None,None,None,None
HbNYuOTaYFs,None,None,None,None,None,None
nJ539VsNq2s,None,None,None,None,None,None
Z49hXoN4KWg,None,None,None,None,None,None
U8O8R8-XRmQ,None,None,None,None,None,None
YQGotj43PqM,None,None,None,None,None,None
HxOusn13fqE,None,None,None,None,None,None
XZSnRjDRrvY,None,None,None,None,None,None
_Y9EZcw5zaA,None,None,None,None,None,None
qPrxInnjdvg,None,None,None,None,None,None
Jtpv39DeWpc,None,None,None,None,None,None
y6fPilMJHsE,None,None,None,None,None,None
_BXYFubygkM,None,None,None,None,None,None
eIpFQGGuALc,None,None,None,None,None,None
5kpVl6YJzpk,227.93208333333334,71.20345406681191,3.393268881626725,6.684253921088886,0.46979242548975914,0.004337086397058824
AwAVQ0RiwPw,None,None,None,None,None,None
ecaGFISlQXk,None,None,None,None,None,None
MEysDZDzyIw,None,None,None,None,None,None
3dIbFvX_zCE,None,None,None,None,None,None
_ZB4aUMVKS0,None,None,None,None,None,None
d6c6uIyieoo,None,None,None,None,None,None
zLAMv1vDSgo,None,None,None,None,None,None
wLpOb7vYwk0,None,None,None,None,None,None
Am8KoqLFLHg,None,None,None,None,None,None
0toqxbv3tRQ,None,None,None,None,None,None
NCnYYuU-deE,None,None,None,None,None,None
oc0M1o8tuPo,None,None,None,None,None,None
GToOGb7B29Q,None,None,None,None,None,None
Xq4cTfoGJ-Y,None,None,None,None,None,None
QwlBZc9MrJA,None,None,None,None,None,None
xUqjJce6d88,None,None,None,None,None,None
At7OzVOtezA,None,None,None,None,None,None
0j4A2n3nRBg,None,None,None,None,None,None
c3lNmMxGDXE,None,None,None,None,None,None
kJzSzGbfc0k,None,None,None,None,None,None
RdV6Z4CbkXo,None,None,None,None,None,None
VMSXrxoP_cY,None,None,None,None,None,None
vQOby7llvjY,None,None,None,None,None,None
kUXNIkptIIk,None,None,None,None,None,None
onzBYbPZwg0,None,None,None,None,None,None
zPFGCvPF9mY,None,None,None,None,None,None
FkdGNi94OYw,None,None,None,None,None,None
-dhHrg-KbJ0,None,None,None,None,None,None
AhPQdOdnM2M,None,None,None,None,None,None
2nAnT3PASak,None,None,None,None,None,None
qfsXr4Wirj8,None,None,None,None,None,None
2nssGKBJbaM,None,None,None,None,None,None
sD0NjbwqlYw,None,None,None,None,None,None
81pTSn6xsJA,None,None,None,None,None,None
PRf6iP-v6vI,None,None,None,None,None,None
KPpC3qVE5PQ,None,None,None,None,None,None
Y4WObfOWNys,None,None,None,None,None,None
VTveQ1ndH1c,None,None,None,None,None,None
PltkCwau98w,None,None,None,None,None,None
