videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational,brightness,entropy,text_density,subjet_size,background_lightning_ratio,background_color_simplicity,voice_frequencies,non_voice_frequencies,mfcc_shape,mfcc_mean
e8QY0NDWqzk,The Most Successful People Explain Why a College Degree is USELESS,Motivation Madness,4590955,87049.0,5248.0,"motivation madness,success motivation,billionaires,college degree,education,college,university,warren buffet,tony robbins,donald trump,advice from the most successful people on the planet,motivational speech,motivational video,motivational video 2017,absolutemotivation,be inspired,college degree wothless,graduation,student motivation,student motivation 2017,student motivation video for success,keep going,best motivational video 2017,job motivation,unemployed",686.0,0.0,70.15535267902074,7.637426016268556,2.6615448243760063,32.20809273097826,1.5338965114783971,0.03977723052536232,4.387683451507938,2.2525196302308164,"(68555, 13)","[19.46036014,10.95999081, 2.3793408 , 2.5367246 , 0.62180567, 0.39534006,-0.34751336, 0.26947896,-0.14502031, 0.0335908 ,-0.26193975,-0.10112957, 0.02823675]"
EtJy69cEOtQ,How to Learn Anything... Fast - Josh Kaufman,The RSA,2687284,41429.0,1814.0,"Learn fast,Learning,Josh Kaufman,Julian Thompson,RSA,The RSA,20 hours,education,Lesson,School,Teacher",1400.0,1.0,117.60618832542782,8.013264853901461,1.1796169704861108,25.147968207465286,3.9994303920430214,0.08049403599330357,0.7741354299607208,0.31816037966479005,"(139988, 13)","[18.44990609, 8.73903779, 4.11133142, 3.47023852, 0.73280873, 0.34208131,-0.50995458,-0.96636642,-0.55155961, 0.08450935, 0.17703901, 0.56091042, 0.10378321]"
rmf04ylI2K0,Kubernetes for Beginners - Docker Introduction,Mumshad Mannambeth,101757,1678.0,53.0,"kubernetes,docker,udemy,course,tutorial,beginners",843.0,1.0,226.53993560851208,3.4817339012799544,5.8770160461867205,38.33095581134944,0.3642615691874046,0.0016020825628698225,1.333567689045111,0.672098875000362,"[84276, 13]","[ 1.64923803e+01, 1.26705852e+01, 2.04882979e+00, 1.95745406e+00, 6.20707683e-01,-6.43970785e-01,-5.63711738e-01,-3.96747590e-01, 3.20206239e-01, 1.32958994e-01, 9.09842174e-03,-5.06693841e-02, 2.70953600e-01]"
XZmGGAbHqa0,Inside a Google data center,G Suite,11723619,97561.0,4232.0,"Google,data center,cloud security,sustainable technology",328.0,0.0,128.45789623119214,10.001720926390387,0.8973918876262627,41.81979955808081,3.6165739820613534,0.22404341264204544,8.458860864491049,4.209258350374537,"[32766, 13]","[19.95597689,11.17062498,-0.17923029, 1.94836946, 0.27086515, 0.38915476,-0.10903132,-0.19330515,-0.3713116 ,-0.02446911,-0.29568691,-0.08239846, 0.23810639]"
QxuibIaQmsw,Lost Ancient High Technology Of Egypt Full Lecture,Brien Foerster,373266,3641.0,311.0,"Egypt,ancient Egypt,Cairo,pyramid,pyramids,Giza,Giza plateau,Great Pyramid",2861.0,1.0,109.18442649629749,9.67129761616616,1.6321180934288346,39.76454920950892,3.25999883055862,0.015013583251527053,0.42563775578147545,0.22174577046752258,"[286039, 13]","[18.67262726,11.72364732, 2.94276777, 1.78865138, 1.2953421 , 0.19272814,-0.61746371, 0.03731896,-0.36909605, 0.14046428,-0.02781791, 0.46601435, 0.16957518]"
uAWWhEA57bE,IQ15:  6 SQL Query Interview Questions,The Coding Interview,760282,12250.0,492.0,"sql,sql server,query,sql query,questions,interview questions,coding interview,sql coding,code,database,interview questions and answers,interview questions sql,interview questions sql server,sql interview,interview sql,interview question sql join,inner join,group by,select sql,interview questions sql basic",1214.0,1.0,238.3616846412185,3.754892109607936,17.737833179603612,56.8358959880485,0.29628947338673195,0.0021259323559670784,2.01819768518841,1.0029237573532113,"[121350, 13]","[ 1.79324794e+01, 8.27337097e+00, 8.64710204e-01, 2.47074389e+00,-4.41161280e-01, 1.06143581e+00,-1.66654790e+00, 7.37877963e-01,-1.93656937e+00, 7.24552886e-01, 1.43478604e-02, 5.45543613e-01, 7.45445500e-01]"
4DgTLaFNQq0,What Is Hadoop?,Mike Gualtieri,264490,1692.0,28.0,"Hadoop,Big Data,Forrester,Mike Gualtieri,Apache Hadoop (Software),TechnoPolitics,Software (Industry)",396.0,1.0,121.24403224050852,8.717582986976776,3.0882096830372694,39.75420149773598,4.896235853976577,0.2439056396484375,10.723083345737834,5.396047582473679,"[39585, 13]","[ 1.78715994e+01, 7.59355243e+00, 2.01507993e+00, 2.48935121e+00, 1.86419709e+00,-7.07127478e-01, 7.44398286e-01,-4.98353622e-01,-1.00110558e+00, 5.86063301e-01, 2.40592969e-01,-1.82389228e-01,-1.48946720e-02]"
YFl2mCHdv24,Learn Docker in 12 Minutes 🐳,Jake Wright,873072,21111.0,187.0,"jake,wright,computer,science,web,internet,docker,container,image,php,docker hub,howto,how to,tutorial,from scratch,beginners,explained,what is,build,learn,mac,windows,dockerfile,apache,process,virtual machine,dev environment,vagrant",721.0,1.0,180.6251501540196,6.388680482652093,8.412110882040896,42.63360746407214,1.0182460500663886,0.04180908203125,3.6717672069998137,1.801910595304164,"[72003, 13]","[18.44119423, 7.12036199, 2.55500301, 2.96662993, 1.46338229, 0.64407165,-0.16990153,-0.11182553,-0.3816395 , 0.63324127,-0.31052964, 0.83827179, 0.56226722]"
dspdToaROn8,DQ vs MDM,Intricity101,52366,228.0,7.0,"What is MDM,Data Quality vs MDM,What is Data Quality?,Data Quality vs Master Data Management,DQ vs Master Data Management,intricity101,DQ vs MDM,Compare DQ,Compare MDM,What is DQ,Compare Data Quality,What is Master Data Management?",375.0,1.0,207.34606031539352,3.0431531626162927,7.592570891203704,39.454946469907405,1.1202728459399982,0.001315104166666667,1.656693667949042,0.8304661245578273,"[37429, 13]","[17.81640366, 7.16487365, 1.14122051, 2.30081065, 0.99886514,-0.63152505,-1.01285379,-0.30792191,-1.25444961, 0.16529811,-0.06005366,-0.02136055, 0.05155854]"
FHVuRxJpiwI,What is Big Data and Hadoop?,Learning Tree International,956374,2890.0,112.0,"Apache Hadoop (Software),Software (Industry),big data,hadoop training,Oracle Database (Software),SQL (Programming Language),MapReduce (Software),big data training,Data (Dimension)",485.0,1.0,186.16511558786155,7.3662521600261535,4.4838436515607105,31.063954216781216,1.0672363463161223,0.016926244362113402,1.0065879437568106,0.49394349923695746,"[48409, 13]","[10.95621415, 9.2861858 , 1.51476168, 1.46353431, 0.07123435, 0.4282311 ,-0.84480482, 0.21138524,-0.2311494 ,-0.15126279,-0.45587326,-0.3119762 ,-0.04184107]"
